Sample,Height_cm,Date
LB1.0.1,7,11-Oct
LB1.0.2,7,11-Oct
LB1.0.3,8,11-Oct
LB1.0.4,14,11-Oct
LB1.0.5,8,11-Oct
LB1.0.6,17,11-Oct
LB1.8.1,8,11-Oct
LB1.8.2,3,11-Oct
LB1.8.3,3,11-Oct
LB1.8.4,6,11-Oct
LB1.8.5,6,11-Oct
LB1.8.6,5,11-Oct
LB1.16.1,7,11-Oct
LB1.16.2,6,11-Oct
LB1.16.3,6,11-Oct
LB1.16.4,5,11-Oct
LB1.16.5,5,11-Oct
LB1.16.6,7,11-Oct
LB1.24.1,7,11-Oct
LB1.24.2,8,11-Oct
LB1.24.3,5,11-Oct
LB1.24.4,8,11-Oct
BL1.24.5,4,11-Oct
LB1.24.6,8,11-Oct
LB2.0.1,5,11-Oct
LB2.0.2,5,11-Oct
LB2.0.3,6,11-Oct
LB2.0.4,3,11-Oct
LB2.0.5,3,11-Oct
LB2.0.6,6,11-Oct
LB2.8.1,7,11-Oct
LB2.8.2,11,11-Oct
LB2.8.3,4,11-Oct
LB2.8.4,6,11-Oct
LB2.8.5,6,11-Oct
LB2.8.6,6,11-Oct
LB2.16.1,4,11-Oct
LB2.16.2,13,11-Oct
LB2.16.3,7,11-Oct
LB2.16.4,5,11-Oct
LB2.16.5,4,11-Oct
LB2.16.6,6,11-Oct
LB2.24.1,4,11-Oct
LB2.24.2,7,11-Oct
LB2.24.3,4,11-Oct
LB2.24.4,4,11-Oct
LB2.24.5,18,11-Oct
LB2.24.6,6,11-Oct
LB3.0.1,6,11-Oct
LB3.0.2,7,11-Oct
LB3.0.3,7,11-Oct
LB3.0.4,4,11-Oct
LB3.0.5,6,11-Oct
LB3.0.6,5,11-Oct
LB3.8.1,6,11-Oct
LB3.8.2,6,11-Oct
LB3.8.3,6,11-Oct
LB3.8.4,5,11-Oct
LB3.8.5,4,11-Oct
LB3.8.6,6,11-Oct
LB3.16.1,7,11-Oct
LB3.16.2,6,11-Oct
LB3.16.3,4,11-Oct
LB3.16.4,6,11-Oct
LB3.16.5,6,11-Oct
LB3.16.6,5,11-Oct
LB3.24.1,13,11-Oct
LB3.24.2,13,11-Oct
LB3.24.3,6,11-Oct
LB3.24.4,6,11-Oct
LB3.24.5,6,11-Oct
LB3.24.6,13,11-Oct
LB4.0.1,6,11-Oct
LB4.0.2,3,11-Oct
LB4.0.3,6,11-Oct
LB4.0.4,19,11-Oct
LB4.0.5,4,11-Oct
LB4.0.6,3,11-Oct
LB4.8.1,5,11-Oct
LB4.8.2,8,11-Oct
LB4.8.3,6,11-Oct
LB4.8.4,14,11-Oct
LB4.8.5,6,11-Oct
LB4.8.6,5,11-Oct
LB4.16.1,2,11-Oct
