SPECIES,QUADRANT,TREATMENT (DS/M),HEIGHT (CM),TIME (DAY OF MONTH)
LB1.0.1.1025,1,0,8,25-Oct
LB1.0.2.1025,1,0,21,25-Oct
LB1.0.3.1025,1,0,10,25-Oct
LB1.0.4.1025,1,0,9,25-Oct
LB1.0.5.1025,1,0,19,25-Oct
LB1.0.6.1025,1,0,11,25-Oct
LB1.8.1.1025,1,8,8,25-Oct
LB1.8.2.1025,1,8,3,25-Oct
LB1.8.3.1025,1,8,5,25-Oct
LB1.8.4.1025,1,8,6,25-Oct
LB1.8.5.1025,1,8,8,25-Oct
LB1.8.6.1025,1,8,7,25-Oct
LB1.16.1.1025,1,16,8,25-Oct
LB1.16.2.1025,1,16,7,25-Oct
LB1.16.3.1025,1,16,9,25-Oct
LB1.16.4.1025,1,16,8,25-Oct
LB1.16.5.1025,1,16,8,25-Oct
LB1.16.6.1025,1,16,7,25-Oct
LB1.24.1.1025,1,24,8,25-Oct
LB1.24.2.1025,1,24,7,25-Oct
LB1.24.3.1025,1,24,8,25-Oct
LB1.24.4.1025,1,24,4,25-Oct
BL1.24.5.1025,1,24,9,25-Oct
LB1.24.6.1025,1,24,9,25-Oct
LB2.0.1.1025,2,0,5,25-Oct
LB2.0.2.1025,2,0,6,25-Oct
LB2.0.3.1025,2,0,7,25-Oct
LB2.0.4.1025,2,0,6,25-Oct
LB2.0.5.1025,2,0,4,25-Oct
LB2.0.6.1025,2,0,6,25-Oct
LB2.8.1.1025,2,8,8,25-Oct
LB2.8.2.1025,2,8,12,25-Oct
LB2.8.3.1025,2,8,4,25-Oct
LB2.8.4.1025,2,8,8,25-Oct
LB2.8.4.1025,2,8,7,25-Oct
LB2.8.6.1025,2,8,7,25-Oct
LB2.16.1.1025,2,16,5,25-Oct
LB2.16.2.1025,2,16,17,25-Oct
LB2.16.3.1025,2,16,8,25-Oct
LB2.16.4.1025,2,16,5,25-Oct
LB2.16.5.1025,2,16,5,25-Oct
LB2.16.6.1025,2,16,6,25-Oct
LB2.24.1.1025,2,24,5,25-Oct
LB2.24.2.1025,2,24,7,25-Oct
LB2.24.3.1025,2,24,4,25-Oct
LB2.24.4.1025,2,24,6,25-Oct
LB2.24.5.1025,2,24,2,25-Oct
LB2.24.6.1025,2,24,6,25-Oct
LB3.0.1.1025,3,0,7,25-Oct
LB3.0.2.1025,3,0,9,25-Oct
LB3.0.3.1025,3,0,7,25-Oct
LB3.0.4.1025,3,0,6,25-Oct
LB3.0.5.1025,3,0,6,25-Oct
LB3.0.6.1025,3,0,6,25-Oct
LB3.8.1.1025,3,8,8,25-Oct
LB3.8.2.1025,3,8,9,25-Oct
LB3.8.3.1025,3,8,7,25-Oct
LB3.8.4.1025,3,8,6,25-Oct
LB3.8.5.1025,3,8,7,25-Oct
LB3.8.6.1025,3,8,7,25-Oct
LB3.16.1.1025,3,16,7,25-Oct
LB3.16.2.1025,3,16,5,25-Oct
LB3.16.3.1025,3,16,4,25-Oct
LB3.16.4.1025,3,16,6,25-Oct
LB3.16.5.1025,3,16,6,25-Oct
LB3.16.6.1025,3,16,4,25-Oct
LB3.24.1.1025,3,24,19,25-Oct
LB3.24.2.1025,3,24,13,25-Oct
LB3.24.3.1025,3,24,6,25-Oct
LB3.24.4.1025,3,24,6,25-Oct
LB3.24.5.1025,3,24,6,25-Oct
LB3.24.6.1025,3,24,13,25-Oct
LB4.0.1.1025,4,0,6,25-Oct
LB4.0.2.1025,4,0,3,25-Oct
LB4.0.3.1025,4,0,7,25-Oct
LB4.0.4.1025,4,0,20,25-Oct
LB4.0.5.1025,4,0,6,25-Oct
LB4.0.6.1025,4,0,6,25-Oct
LB4.8.1.1025,4,8,6,25-Oct
LB4.8.2.1025,4,8,8,25-Oct
LB4.8.3.1025,4,8,12,25-Oct
LB4.8.4.1025,4,8,17,25-Oct
LB4.8.5.1025,4,8,8,25-Oct
LB4.8.6.1025,4,8,6,25-Oct
LB4.16.1.1025,4,16,3,25-Oct
LB4.16.2.1025,4,16,X,25-Oct
LB4.16.3.1025,4,16,6,25-Oct
LB4.16.4.1025,4,16,6,25-Oct
LB4.16.5.1025,4,16,5,25-Oct
LB4.16.6.1025,4,16,5,25-Oct
LB4.24.1.1025,4,24,9,25-Oct
LB4.24.2.1025,4,24,12,25-Oct
LB4.24.3.1025,4,24,10,25-Oct
LB4.24.4.1025,4,24,8,25-Oct
LB4.24.5.1025,4,24,14,25-Oct
LB4.24.6.1025,4,24,X,25-Oct
LB5.0.1.1025,5,0,6,25-Oct
LB5.0.2.1025,5,0,7,25-Oct
LB5.0.3.1025,5,0,7,25-Oct
LB5.0.4.1025,5,0,7,25-Oct
LB5.0.5.1025,5,0,6,25-Oct
LB5.0.6.1025,5,0,6,25-Oct
LB5.8.1.1025,5,8,9,25-Oct
LB5.8.2.1025,5,8,6,25-Oct
LB5.8.3.1025,5,8,6,25-Oct
LB5.8.4.1025,5,8,6,25-Oct
LB5.8.5.1025,5,8,6,25-Oct
LB5.8.6.1025,5,8,6,25-Oct
LB5.16.1.1025,5,16,5,25-Oct
LB5.16.2.1025,5,16,6,25-Oct
LB5.16.3.1025,5,16,5,25-Oct
LB5.16.4.1025,5,16,3,25-Oct
LB5.16.5.1025,5,16,6,25-Oct
LB5.16.6.1025,5,16,7,25-Oct
LB5.24.1.1025,5,24,5,25-Oct
LB5.24.2.1025,5,24,6,25-Oct
