POT,SHOOT MASS (g),ROOT MASS (g) ,NUMBER OF PLANTS
LB.1.0.S,2.08,0.96,6
LB.1.8.S,0.37,0.05,6
LB.1.16.S,0.84,0.2,6
LB.1.24.S,0.54,0.12,6
LB.2.0.S,0.28,0.15,6
LB.2.8.S,0.2,0.21,6
LB.2.16.S,0.68,0.3,6
LB.2.24.S,0.23,0.18,6
LB.3.0.S,0.58,0.28,6
LB.3.8.S,0.8,0.32,6
LB.3.16.S,0.54,0.21,5
LB.3.24.S,0.44,0.4,5
LB.4.0.S,0.41,0.24,6
LB.4.8.S,0.56,0.26,6
LB.4.16.S,0.07,0.03,4
LB.4.24.S,0.28,0.04,4
LB.5.0.S,1.42,0.43,6
LB.5.8.S,0.25,0.18,6
LB.5.16.S,0.6,0.15,6
LB.5.24.S,0.98,0.3,5
LB.6.0.S,0.74,0.31,6
LB.6.8.S,0.46,0.3,6
LB.6.16.S,0.5,0.21,6
LB.6.24.S,0.28,0.08,6
SG.1.0.S,2.44,1.36,6
SG.1.8.S,1.74,0.57,6
SG.1.16.S,2.85,0.66,4
SG.1.24.S,2.78,0.42,5
SG.2.0.S,2.58,1.42,6
SG.2.8.S,2.62,0.71,6
SG.2.16.S,2.77,1.08,6
SG.2.24.S,2.82,0.47,6
SG.3.0.S,3.21,1.35,6
SG.3.8.S,3.28,1.03,6
SG.3.16.S,1.44,0.49,6
SG.3.24.S,2.2,0.5,6
SG.4.0.S,1.87,1.63,6
SG.4.8.S,1.7,0.99,6
SG.4.16.S,1.05,0.25,5
SG.4.24.S,0.93,0.16,5
SG.5.0.S,1.82,0.72,6
SG.5.8.S,2.07,1.32,5
SG.5.16.S,1.35,0.77,6
SG.5.24.S,0.9,0.12,5
SG.6.0.S,1.99,1.4,6
SG.6.8.S,2.68,1.67,6
SG.6.16.S,2.05,0.41,6
SG.6.24.S,1.74,0.41,5
BG.1.0.S,2.67,0.68,6
BG1.8.S,2.37,0.39,6
BG.1.16.S,2.04,0.33,5
BG.1.24.S,1.12,0.15,4
BG.2.0.S,3.5,1.07,6
BG.2.8.S,3.22,0.61,6
BG.2.16.S,1.81,0.24,5
BG.2.24.S,1.97,0.22,5
BG.3.0.S,1.29,0.37,5
BG.3.8.S,1.71,0.31,6
BG.3.16.S,1.92,0.22,6
BG.3.24.S,0.75,0.06,3
BG.4.0.S,1.98,0.66,6
BG.4.8.S,1.2,0.22,5
BG.4.16.S,0.37,0.08,2
BG.4.24.S,0.22,0.05,4
BG.5.0.S,3.08,1.02,6
BG.5.8.S,2.42,0.64,6
BG.5.16.S,2.23,0.49,5
BG.5.24.S,1.08,0.12,5
BG.6.0.S,2.08,0.8,6
BG.6.8.S,2.23,1.31,6
BG.6.16.S,1.93,0.47,6
BG.6.24.S,0.73,0.09,3
BM.1.0.S,3.28,0.78,6
BM.1.8.S,3.19,0.61,6
BM.1.16.S,2.88,0.43,6
BM.1.24.S,3.61,0.39,6
BM.2.0.S,4.83,1.9,6
BM.2.8.S,4.46,1.62,6
BM.2.16.S,4.93,2.31,6
BM.2.24.S,6.08,1.24,6
BM.3.0.S,4.85,1.16,6
BM.3.8.S,6.12,1.55,6
BM.3.16.S,5.94,1.41,6
BM.3.24.S,6.43,1.2,6
BM.4.0.S,5.13,1.02,6
BM.4.8.S,2.64,0.78,6
BM.4.16.S,6.09,1.78,6
BM.4.24.S,5.84,1.23,6
BM.5.0.S,7.06,1.59,6
BM.5.8.S,4.49,2.37,6
BM.5.16.S,4.62,1.61,6
BM.5.24.S,7.04,2.55,6
BM.6.0.S,5.38,2.62,6
BM.6.8.S,5.74,1.65,6
BM.6.16.S,3.72,0,6
BM.6.24.S,3.27,1.2,6
